# days,inflow_mean,inflow_low,inflow_high,release_mean,release_low,release_high,height_mean,height_low,height_high,demand
3.100000000000000000e+01,8.211384615384615415e+01,5.067418048267857955e+01,1.135535118250137288e+02,9.351369230769226704e+01,6.880394402461544701e+01,1.182234405907690871e+02,2.190769230769230302e-01,-1.322928058277344776e-01,5.704466519815805103e-01,8.823399999999999466e+01
3.200000000000000000e+01,8.184615384615382538e+01,5.293780489549158119e+01,1.107545027968160696e+02,9.323215384615384949e+01,6.861554978789783377e+01,1.178487579044098652e+02,2.123076923076923361e-01,-1.364263665207826881e-01,5.610417511361673881e-01,8.823399999999999466e+01
3.300000000000000000e+01,8.571384615384616268e+01,5.643804424314194534e+01,1.149896480645503800e+02,9.411646153846153595e+01,6.913369077195932277e+01,1.190992323049637491e+02,2.079999999999999905e-01,-1.388593153072073261e-01,5.548593153072073347e-01,8.823399999999999466e+01
3.400000000000000000e+01,8.205846153846150060e+01,5.087321901127742763e+01,1.132437040656455736e+02,9.403184615384614631e+01,6.927766509955475271e+01,1.187860272081375399e+02,2.009999999999999565e-01,-1.426536718177854324e-01,5.446536718177853453e-01,8.823399999999999466e+01
3.500000000000000000e+01,8.224153846153849656e+01,5.528704180623387288e+01,1.091960351168431202e+02,9.430923076923077986e+01,7.022184119851637263e+01,1.183966203399451871e+02,1.941538461538461768e-01,-1.465113055158398514e-01,5.348189978235322606e-01,8.823399999999999466e+01
3.600000000000000000e+01,8.174153846153848235e+01,4.949505556538998974e+01,1.139880213576869750e+02,9.511461538461536236e+01,7.043160783336367103e+01,1.197976229358670537e+02,1.868461538461538562e-01,-1.528602456664583109e-01,5.265525533587660512e-01,8.823399999999999466e+01
3.700000000000000000e+01,9.144153846153845677e+01,3.599804014725958723e+01,1.468850367758173263e+02,9.552030769230768215e+01,6.583720729601998300e+01,1.252034080885953813e+02,1.848461538461538267e-01,-1.561692633902219129e-01,5.258615710825296219e-01,8.823399999999999466e+01
3.800000000000000000e+01,8.471230769230767521e+01,4.018051262858232775e+01,1.292441027560330156e+02,9.514784615384614597e+01,6.438149497936144883e+01,1.259141973283308431e+02,1.786153846153846203e-01,-1.638446160722956124e-01,5.210753853030648530e-01,8.823399999999999466e+01
3.900000000000000000e+01,8.559538461538463139e+01,3.791745090057679590e+01,1.332733183301924669e+02,9.702246153846155607e+01,6.457457659941272254e+01,1.294703464775103896e+02,1.731538461538461859e-01,-1.701195022377473276e-01,5.164271945454397272e-01,8.823399999999999466e+01
4.000000000000000000e+01,8.387384615384614506e+01,5.145888153315056002e+01,1.162888107745417301e+02,9.776092307692307770e+01,6.531521003910336276e+01,1.302066361147427926e+02,1.655384615384615232e-01,-1.757138961056038950e-01,5.067908191825269970e-01,8.823399999999999466e+01
4.100000000000000000e+01,8.552461538461538737e+01,5.038870331221055920e+01,1.206605274570202084e+02,9.775723076923077315e+01,6.651145170622071134e+01,1.290030098322408207e+02,1.584615384615384315e-01,-1.828683528087050036e-01,4.997914297317818666e-01,8.823399999999999466e+01
4.200000000000000000e+01,9.268153846153843745e+01,3.728895941869414798e+01,1.480741175043827411e+02,9.779399999999999693e+01,6.724462418867550184e+01,1.283433758113245062e+02,1.556153846153846554e-01,-1.879804285724897550e-01,4.992111978032590658e-01,8.823399999999999466e+01
4.300000000000000000e+01,9.038307692307691354e+01,3.326800395837420155e+01,1.474981498877796184e+02,9.931984615384617143e+01,5.786128780968360275e+01,1.407784044980087401e+02,1.513846153846153675e-01,-1.959896094378459630e-01,4.987588402070767257e-01,8.823399999999999466e+01
4.400000000000000000e+01,9.155538461538463935e+01,3.602698846802392296e+01,1.470837807627453628e+02,1.000784615384615250e+02,5.649557469826419975e+01,1.436613483786588574e+02,1.469230769230769063e-01,-1.999472073084211099e-01,4.937933611545749502e-01,8.823399999999999466e+01
4.500000000000000000e+01,8.415999999999996817e+01,4.494842870941123181e+01,1.233715712905887045e+02,9.847461538461540442e+01,5.609814756517496193e+01,1.408510832040558398e+02,1.376153846153845561e-01,-2.066543080701249424e-01,4.818850773008940269e-01,8.823399999999999466e+01
4.600000000000000000e+01,7.944461538461538908e+01,4.263235977165940227e+01,1.162568709975713830e+02,9.817507692307692935e+01,5.712822331469509862e+01,1.392219305314587530e+02,1.264615384615384863e-01,-2.092887385609980833e-01,4.622118154840750837e-01,8.823399999999999466e+01
4.700000000000000000e+01,8.560461538461538566e+01,5.132386307813550275e+01,1.198853676910952686e+02,9.745861538461538487e+01,5.863562882027250112e+01,1.362816019489582686e+02,1.191538461538460963e-01,-2.102483737615744031e-01,4.485560660692666235e-01,8.823399999999999466e+01
4.800000000000000000e+01,8.388923076923080657e+01,5.393824453619733106e+01,1.138402170022642821e+02,9.804230769230765929e+01,6.008455916666279961e+01,1.360000562179525332e+02,1.113076923076923019e-01,-2.119869779035288559e-01,4.346023625189134876e-01,8.823399999999999466e+01
4.900000000000000000e+01,8.135230769230767578e+01,5.201019247469278639e+01,1.106944229099225652e+02,9.732676923076921582e+01,6.505011359867344822e+01,1.296034248628649834e+02,1.015538461538461057e-01,-2.137087809107468539e-01,4.168164732184390653e-01,8.823399999999999466e+01
5.000000000000000000e+01,8.666307692307690047e+01,5.261349511504619869e+01,1.207126587311076094e+02,9.609323076923078588e+01,6.892973268773050677e+01,1.232567288507310650e+02,9.538461538461537326e-02,-2.151314658195479235e-01,4.059006965887786977e-01,8.823399999999999466e+01
5.100000000000000000e+01,8.442769230769232536e+01,4.773814020990711526e+01,1.211172444054775355e+02,9.572399999999998954e+01,6.932002997216574158e+01,1.221279700278342375e+02,8.849230769230768956e-02,-2.193792001245797318e-01,3.963638155091951387e-01,8.823399999999999466e+01
5.200000000000000000e+01,8.536615384615384983e+01,3.500236258871884587e+01,1.357299451035888467e+02,9.520800000000002683e+01,6.887854879767937177e+01,1.215374512023206819e+02,8.256923076923076976e-02,-2.241882514531402526e-01,3.893267129916018199e-01,8.823399999999999466e+01
